[I][2022-02-10 +80 15:57:33.152][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.252][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.353][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.454][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.554][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.654][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.755][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.855][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:33.955][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.055][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.155][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.255][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.356][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.456][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.557][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.659][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.760][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.860][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:34.960][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:35.061][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:35.161][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:35.262][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:35.362][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
