~~~~~ begin of mmap ~~~~~
[I][2022-02-10 +80 21:26:09.372][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.380][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.384][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.385][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.396][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.398][8076, 1*][main][QAD][QAdLinkageSplashManager_LINKAGE][][clearFocusData. focus info size = 0
[I][2022-02-10 +80 21:26:09.404][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.419][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.423][8076, 1*][main][AppLaunchManager][][][reopotAppToLight:1644499569423,gap:866465
[I][2022-02-10 +80 21:26:09.426][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.435][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.436][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.436][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.437][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.439][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.440][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.442][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.443][8076, 1*][main][DefaultImSdkListener][][][onConnecting: 
[I][2022-02-10 +80 21:26:09.447][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.448][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.448][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.457][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.462][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.463][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.464][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.465][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.466][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.467][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.469][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.471][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.474][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.476][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.478][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.481][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.483][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.486][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.492][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.495][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.497][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.502][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.502][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 4|NetType_4g
[I][2022-02-10 +80 21:26:09.503][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.506][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:4 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.508][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 4|NetType_4g
[I][2022-02-10 +80 21:26:09.508][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:4 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.508][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 4|NetType_4g
[I][2022-02-10 +80 21:26:09.508][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.510][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:4 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.514][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.515][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.518][8076, 1*][main][DefaultImSdkListener][][][onConnectSuccess: 
[I][2022-02-10 +80 21:26:09.521][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.523][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.524][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.525][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 4|NetType_4g
[I][2022-02-10 +80 21:26:09.525][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.526][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.527][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:4 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.528][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.529][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.530][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.534][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.535][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.538][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.540][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
