~~~~~ begin of mmap ~~~~~
[I][2022-02-10 +80 16:28:09.063][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0bc32yamoaaaxyaodoqdxfroxvwdy7labr2a.f322013.hls, taskID: 600001, type: 5, WatchTime: 2994, RemainTime(0, 0, 33),  Adv(0), P2PTime(40, 60), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1764MB), CodeRate: 63 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:09.064][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0bc3fiaa2aaahmaoffiaubrfckwdbuvaadka.f304310.hls, taskID: 600005, type: 5, WatchTime: 2978, RemainTime(0, 0, 32),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1764MB), CodeRate: 58 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:09.064][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b53yiaokaaa44ajclqdxvrjlqwd4xbabzka.f304310.hls, taskID: 600006, type: 5, WatchTime: 2978, RemainTime(0, 0, 35),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1763MB), CodeRate: 57 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:09.065][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b53fqakkaaaxuagtsh55nqzklgduuwabjka.f304310.hls, taskID: 600007, type: 5, WatchTime: 2978, RemainTime(0, 0, 35),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1763MB), CodeRate: 44 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:09.065][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b534eaioaaa6mamdqh6abqzlyodq7qqbb2a.f304310.hls, taskID: 600008, type: 5, WatchTime: 2978, RemainTime(0, 0, 36),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1763MB), CodeRate: 27 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:10.069][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0bc32yamoaaaxyaodoqdxfroxvwdy7labr2a.f322013.hls, taskID: 600001, type: 5, WatchTime: 2995, RemainTime(0, 0, 33),  Adv(0), P2PTime(40, 60), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1767MB), CodeRate: 63 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:10.069][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0bc3fiaa2aaahmaoffiaubrfckwdbuvaadka.f304310.hls, taskID: 600005, type: 5, WatchTime: 2979, RemainTime(0, 0, 32),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1767MB), CodeRate: 58 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:10.069][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b53yiaokaaa44ajclqdxvrjlqwd4xbabzka.f304310.hls, taskID: 600006, type: 5, WatchTime: 2979, RemainTime(0, 0, 35),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1767MB), CodeRate: 57 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:10.070][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b53fqakkaaaxuagtsh55nqzklgduuwabjka.f304310.hls, taskID: 600007, type: 5, WatchTime: 2979, RemainTime(0, 0, 35),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1767MB), CodeRate: 44 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:10.070][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0b534eaioaaa6mamdqh6abqzlyodq7qqbb2a.f304310.hls, taskID: 600008, type: 5, WatchTime: 2979, RemainTime(0, 0, 36),  Adv(0), P2PTime(90, 120), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1767MB), CodeRate: 27 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
[I][2022-02-10 +80 16:28:11.076][24726, 21026][TVKDL-Timer][tpdlcore][][][HLSVodScheduler.cpp:272][INFO][OnSchedule]P2PKey: 0bc32yamoaaaxyaodoqdxfroxvwdy7labr2a.f322013.hls, taskID: 600001, type: 5, WatchTime: 2996, RemainTime(0, 0, 33),  Adv(0), P2PTime(40, 60), Speed(0.00KB/S, 0.00KB/S, 0.00KB/S, 0.00KB/S), MemInfo(10MB, 75MB, 1780MB), CodeRate: 63 KB/s, peer:0/0/0, lowSpeed:1, p2pLow:0, Qos: 10000, Mode:2, SeedSuper(0/0), SeedNormal(0/0)
